Date,Close,High,Low,Open,Volume
2015-07-01,174.9171142578125,175.3638894724379,174.1247165978314,175.11099468650048,135979900
2015-07-02,174.75692749023438,175.56618814172808,174.33544051529762,175.3975959243057,104373700
2015-07-06,174.25962829589844,175.04358813066318,173.25648693615517,173.45880537549715,117975400
2015-07-07,175.35543823242188,175.4818791751677,172.05940712206035,174.46188793632126,173820200
2015-07-08,172.4134979248047,174.29332663471078,172.17746619722743,174.00671851733333,164020100
2015-07-09,172.72532653808594,174.79062263904902,172.61574869072223,174.52928995623552,144113100
2015-07-10,174.9002685546875,175.32175561887746,172.7675450389075,174.740101412253,129456900
2015-07-13,176.83062744140625,176.94020529481128,176.1309576050445,176.17310886993573,106069400
2015-07-14,177.5977325439453,177.90964162917248,176.72947046835438,176.78848481463763,81709600
2015-07-15,177.5387420654297,178.10353306184948,177.05824074537554,177.63989482217306,97914100
2015-07-16,178.96340942382812,178.96340942382812,178.3564670244211,178.60092386121022,106683300
2015-07-17,179.11512756347656,179.17414192275723,178.5419113675342,178.95496043144456,89030000
2015-07-20,179.20785522460938,179.70520684098412,178.88753382331157,179.34273416345243,70446800
2015-07-21,178.49977111816406,179.3343201332078,178.19629991839946,179.07298734951698,77965000
2015-07-22,178.17941284179688,178.51661016433286,177.7747889175163,177.80850221838858,88667900
2015-07-23,177.17628479003906,178.41545770847551,176.81381211215972,178.314304935628,90509100
2015-07-24,175.33860778808594,177.33645223189467,175.0014233028297,177.27745073521845,117755000
2015-07-27,174.31858825683594,174.9592567306815,173.87181306468705,174.44504207482453,132361100
2015-07-28,176.45973205566406,176.60303607840157,174.32700906903648,175.16154501690565,123544800
2015-07-29,177.6736602783203,177.90125403132893,176.44291239377608,176.58621645177706,105791300
2015-07-30,177.71575927734375,177.88435148052753,176.53558812953605,177.1593934303527,91304400
2015-07-31,177.44602966308594,178.2468524025521,177.15942158584755,178.22156421119357,103266900
2015-08-03,176.84751892089844,177.4713243436643,175.88652902584803,177.4123228492579,113965700
2015-08-04,176.50184631347656,177.2352293533387,176.01291999931564,176.77159122243103,81820800
2015-08-05,177.0835418701172,178.12882132425926,176.7969209546239,177.40386322085675,85786800
2015-08-06,175.6336212158203,177.3785705399821,175.0435291821532,177.26897981439913,116030800
2015-08-07,175.29640197753906,175.62516125035512,174.38598871525772,175.47343213802137,117858000
2015-08-10,177.5050506591797,177.5893403459408,176.41760693902745,176.41760693902745,80270700
2015-08-11,175.9033966064453,176.5777784310227,175.13628712020406,176.15629139850725,126081400
2015-08-12,176.11412048339844,176.2995757860453,173.11313520458475,174.58833965388175,172123700
2015-08-13,175.89495849609375,176.64520484401035,175.34701767666365,175.95395998764815,89383300
2015-08-14,176.53564453125,176.61150911750673,175.55779143250302,175.70109549413178,72786500
2015-08-17,177.5219268798828,177.5219268798828,175.47350582660283,175.93714419136734,79072600
2015-08-18,177.0076141357422,177.59769315389505,176.77158252848102,177.24364574300333,71692700
2015-08-19,175.6083526611328,177.0329679391841,174.7906668390415,176.25743339031908,172946000
2015-08-20,171.94146728515625,175.58310953619733,171.88245291061665,174.0826163261839,194327900
2015-08-21,166.76556396484375,171.91613611355646,166.50424405781186,170.05315773518646,346588500
2015-08-24,159.74359130859375,166.4705209980097,153.75847007751975,158.04921800499207,507244300
2015-08-25,157.86376953125,164.75929176693106,157.56872343951426,164.74242868269243,369833100
2015-08-26,163.9247283935547,164.20289849210744,158.7910069987579,161.91844617345566,339257000
2015-08-27,167.97950744628906,168.10594845753602,164.55703353901086,166.08281510097564,274143900
2015-08-28,167.98782348632812,168.4598867721675,166.84137856524973,167.33030492922902,160414400
2015-08-31,166.6306610107422,167.86140865107902,166.07429511047644,167.00157161091937,163298800
2015-09-01,161.65716552734375,164.1860881209575,160.780465158409,162.79517297681065,256000400
2015-09-02,164.72557067871094,164.76772195593378,162.20507350884452,164.05961394177572,160269300
2015-09-03,164.8435821533203,166.95101733077834,164.34623053850345,165.4420865405708,152087800
2015-09-04,162.34835815429688,163.41893872651536,161.5222472430891,162.5675396245496,207081000
2015-09-08,166.4283447265625,166.58008672980202,164.52322818491575,165.1723217434031,116025700
2015-09-09,164.2029266357422,168.1480522891227,163.83202881984755,168.02161131356368,149347700
2015-09-10,165.09642028808594,166.2512902529113,163.7476570922865,164.00897690656734,158611100
2015-09-11,165.84669494628906,165.91413440394695,163.9837169089284,164.7002498916274,119691200
2015-09-14,165.2313232421875,166.07429721225424,164.74239679601737,166.02372083209215,79452000
2015-09-15,167.2965850830078,167.74336016551786,165.18915059465508,165.73707841652305,113806200
2015-09-16,168.74655151367188,168.9404448205619,167.25449659708505,167.6001190699612,99581600
2015-09-17,168.36717224121094,171.0309728332212,167.98783656147626,168.61164187360853,276046600
2015-09-18,165.61582946777344,168.35278741070658,165.20063304738866,165.83615043823173,223657500
2015-09-21,166.47166442871094,167.5054274681029,165.41246879894106,166.45471367833704,105726200
2015-09-22,164.31092834472656,164.77697708032574,163.1669917145864,164.28550868002444,153890900
2015-09-23,164.0482177734375,164.95488247298096,163.46353974036194,164.48036491849462,92790600
2015-09-24,163.45506286621094,163.92111152482275,161.4722517691724,162.81954549436776,159378800
2015-09-25,163.41273498535156,165.23454660944734,162.5314768295048,164.92949769852137,155054800
2015-09-28,159.31150817871094,162.61620664470018,158.99799037721044,162.50604615027655,178515900
2015-09-29,159.40469360351562,160.7774198650499,158.39633734430123,159.53180483068311,159045600
2015-09-30,162.37892150878906,162.54839021375767,160.52320880474448,161.31124410118346,163452000
2015-10-01,162.8026580810547,163.1077070311746,160.84526603846774,162.76028765721952,131079000
2015-10-02,165.2344970703125,165.25991672779887,160.25203732886376,160.8028267435443,211003300
2015-10-05,168.1748504638672,168.40364034579613,166.36150801849337,166.47166850416923,126320800
2015-10-06,167.59864807128906,168.60700444497422,166.92924207889533,168.03927710215044,110274500
2015-10-07,168.9713592529297,169.3272474239699,167.33595451854197,168.53919917195427,124307300
2015-10-08,170.4966278076172,170.78472594957356,168.276544715228,168.58159360954522,153055200
2015-10-09,170.5983123779297,171.08129893505847,169.9627949035355,170.64068279548317,107069200
2015-10-12,170.75926208496094,170.9626193421098,170.24237417365376,170.67452127472737,56395600
2015-10-13,169.6831512451172,171.30160537883222,169.51368251893922,170.02208869747315,88038700
2015-10-14,168.8696746826172,170.20849953181605,168.57310765927443,169.6238214660027,99106200
2015-10-15,171.4625701904297,171.47103909963744,169.16622869115994,169.53906757041844,134142200
2015-10-16,172.2421112060547,172.2590490219813,171.0981750791143,171.86927238158137,114580100
